OBJECTID;DISCORDANCIA_EOCENO_WGS84_tif;X;Y;DISCORDANCIA_EOCENO_WGS84_Band_1
1;-428;-73,802697158765056;8,577913321401642;-428,8087769
2;-504;-73,786152303466537;8,577913321401642;-504,2596130
3;-448;-73,802697158765056;8,561368466103124;-448,1469727
4;-504;-73,786152303466537;8,561368466103124;-504,2596130
5;-487;-73,769607448168017;8,561368466103124;-487,8522644
6;-517;-73,753062592869497;8,561368466103124;-517,6751099
7;-372;-73,802697158765056;8,544823610804606;-372,0446777
8;-444;-73,786152303466537;8,544823610804606;-444,1375122
9;-455;-73,769607448168017;8,544823610804606;-455,8033142
10;-496;-73,753062592869497;8,544823610804606;-496,6637268
11;-196;-73,819242014063576;8,528278755506088;-196,2379150
12;-425;-73,802697158765056;8,528278755506088;-425,3698120
13;-415;-73,786152303466537;8,528278755506088;-415,4384460
14;-411;-73,769607448168017;8,528278755506088;-411,7539368
15;-440;-73,753062592869497;8,528278755506088;-440,0616760
16;-468;-73,736517737570992;8,528278755506088;-468,1508179
17;-203;-73,819242014063576;8,511733900207570;-203,1463013
18;-354;-73,802697158765056;8,511733900207570;-354,5913086
19;-403;-73,786152303466537;8,511733900207570;-403,0474854
20;-391;-73,769607448168017;8,511733900207570;-391,4026184
21;-423;-73,753062592869497;8,511733900207570;-423,9191589
22;-468;-73,736517737570992;8,511733900207570;-468,1508179
23;-468;-73,719972882272472;8,511733900207570;-468,1508179
24;-702;-73,637248605779874;8,511733900207570;-702,1926270
25;-243;-73,819242014063576;8,495189044909051;-243,3919678
26;-354;-73,802697158765056;8,495189044909051;-354,5913086
27;-384;-73,786152303466537;8,495189044909051;-384,1103210
28;-384;-73,769607448168017;8,495189044909051;-384,1103210
29;-391;-73,753062592869497;8,495189044909051;-391,4026184
30;-423;-73,736517737570992;8,495189044909051;-423,9191589
31;-466;-73,719972882272472;8,495189044909051;-466,7191162
32;-639;-73,653793461078394;8,495189044909051;-639,1121826
33;-703;-73,637248605779874;8,495189044909051;-703,8273926
34;-730;-73,620703750481354;8,495189044909051;-730,8966064
35;-781;-73,604158895182834;8,495189044909051;-781,8531494
36;-792;-73,587614039884315;8,495189044909051;-792,2621460
37;-233;-73,819242014063576;8,478644189610533;-233,4000854
38;-312;-73,802697158765056;8,478644189610533;-312,8354187
39;-414;-73,786152303466537;8,478644189610533;-414,5049744
40;-384;-73,769607448168017;8,478644189610533;-384,1103210
41;-382;-73,753062592869497;8,478644189610533;-382,3757935
42;-419;-73,736517737570992;8,478644189610533;-419,2100525
43;-435;-73,719972882272472;8,478644189610533;-435,4981689
44;-479;-73,703428026973953;8,478644189610533;-479,8461304
45;-550;-73,686883171675433;8,478644189610533;-550,2399292
46;-597;-73,670338316376913;8,478644189610533;-597,3218994
47;-669;-73,653793461078394;8,478644189610533;-669,3678589
48;-703;-73,637248605779874;8,478644189610533;-703,8273926
49;-764;-73,620703750481354;8,478644189610533;-764,4180908
50;-764;-73,604158895182834;8,478644189610533;-764,4180908
51;-132;-73,835786869362096;8,462099334312015;-132,3466187
52;-233;-73,819242014063576;8,462099334312015;-233,4000854
53;-312;-73,802697158765056;8,462099334312015;-312,8354187
54;-410;-73,786152303466537;8,462099334312015;-410,3049316
55;-410;-73,769607448168017;8,462099334312015;-410,3049316
56;-400;-73,753062592869497;8,462099334312015;-400,5725403
57;-405;-73,736517737570992;8,462099334312015;-405,7500000
58;-453;-73,719972882272472;8,462099334312015;-453,2225952
59;-500;-73,703428026973953;8,462099334312015;-500,7378540
60;-580;-73,686883171675433;8,462099334312015;-580,8234253
61;-627;-73,670338316376913;8,462099334312015;-627,9253540
62;-666;-73,653793461078394;8,462099334312015;-666,2039185
63;-706;-73,637248605779874;8,462099334312015;-706,4535522
64;-779;-73,620703750481354;8,462099334312015;-779,7061768
65;-801;-73,604158895182834;8,462099334312015;-801,7108154
66;-132;-73,819242014063576;8,445554479013495;-132,3466187
67;-287;-73,802697158765056;8,445554479013495;-287,1893921
68;-365;-73,786152303466537;8,445554479013495;-365,8771667
69;-380;-73,769607448168017;8,445554479013495;-380,0023804
70;-400;-73,753062592869497;8,445554479013495;-400,5725403
71;-412;-73,736517737570992;8,445554479013495;-412,5278931
72;-431;-73,719972882272472;8,445554479013495;-431,9198303
73;-479;-73,703428026973953;8,445554479013495;-479,6896667
74;-570;-73,686883171675433;8,445554479013495;-570,3475342
75;-620;-73,670338316376913;8,445554479013495;-620,0429077
76;-710;-73,653793461078394;8,445554479013495;-710,9459839
77;-749;-73,637248605779874;8,445554479013495;-749,2484741
78;-823;-73,620703750481354;8,445554479013495;-823,4218140
79;-823;-73,604158895182834;8,445554479013495;-823,4218140
80;-39;-73,835786869362096;8,429009623714977;-39,2459335
81;-191;-73,819242014063576;8,429009623714977;-191,3553314
82;-361;-73,802697158765056;8,429009623714977;-361,9895020
83;-361;-73,786152303466537;8,429009623714977;-361,9895020
84;-358;-73,769607448168017;8,429009623714977;-358,2511597
85;-344;-73,753062592869497;8,429009623714977;-344,5839844
86;-391;-73,736517737570992;8,429009623714977;-391,2463989
87;-431;-73,719972882272472;8,429009623714977;-431,9198303
88;-519;-73,703428026973953;8,429009623714977;-519,6724854
89;-570;-73,686883171675433;8,429009623714977;-570,3475342
90;-666;-73,670338316376913;8,429009623714977;-666,6777954
91;-666;-73,653793461078394;8,429009623714977;-666,6777954
92;-760;-73,637248605779874;8,429009623714977;-760,3450928
93;-796;-73,620703750481354;8,429009623714977;-796,2563477
94;-868;-73,604158895182834;8,429009623714977;-868,7413330
95;-58;-73,835786869362096;8,412464768416459;-58,0466194
96;-149;-73,819242014063576;8,412464768416459;-149,3652649
97;-332;-73,802697158765056;8,412464768416459;-332,5462952
98;-361;-73,786152303466537;8,412464768416459;-361,5458069
99;-379;-73,769607448168017;8,412464768416459;-379,0904846
100;-367;-73,753062592869497;8,412464768416459;-367,8087463
101;-424;-73,736517737570992;8,412464768416459;-424,4448547
102;-424;-73,719972882272472;8,412464768416459;-424,4448547
103;-528;-73,703428026973953;8,412464768416459;-528,9938965
104;-574;-73,686883171675433;8,412464768416459;-574,1337280
105;-674;-73,670338316376913;8,412464768416459;-674,1683350
106;-717;-73,653793461078394;8,412464768416459;-717,9703369
107;-812;-73,637248605779874;8,412464768416459;-812,8846436
108;-845;-73,620703750481354;8,412464768416459;-845,8902588
109;-896;-73,604158895182834;8,412464768416459;-896,1634521
110;-134;-73,835786869362096;8,395919913117941;-134,1175385
111;-241;-73,819242014063576;8,395919913117941;-241,6734467
112;-337;-73,802697158765056;8,395919913117941;-337,3153076
113;-337;-73,786152303466537;8,395919913117941;-337,3153076
114;-394;-73,769607448168017;8,395919913117941;-394,9826050
115;-422;-73,753062592869497;8,395919913117941;-422,2145081
116;-464;-73,736517737570992;8,395919913117941;-464,7282104
117;-474;-73,719972882272472;8,395919913117941;-474,1271973
118;-614;-73,703428026973953;8,395919913117941;-614,7504883
119;-637;-73,686883171675433;8,395919913117941;-637,3532104
120;-685;-73,670338316376913;8,395919913117941;-685,7280273
121;-726;-73,653793461078394;8,395919913117941;-726,5483398
122;-831;-73,637248605779874;8,395919913117941;-831,0477295
123;-867;-73,620703750481354;8,395919913117941;-867,8942261
124;-943;-73,604158895182834;8,395919913117941;-943,5023193
125;-53;-73,852331724660615;8,379375057819423;-53,1138000
126;-53;-73,835786869362096;8,379375057819423;-53,1138000
127;-179;-73,819242014063576;8,379375057819423;-179,0664825
128;-288;-73,802697158765056;8,379375057819423;-288,3902893
129;-363;-73,786152303466537;8,379375057819423;-363,4897461
130;-394;-73,769607448168017;8,379375057819423;-394,9826050
131;-468;-73,753062592869497;8,379375057819423;-468,7059326
132;-464;-73,736517737570992;8,379375057819423;-464,7282104
133;-545;-73,719972882272472;8,379375057819423;-545,4178467
134;-556;-73,703428026973953;8,379375057819423;-556,4060059
135;-676;-73,686883171675433;8,379375057819423;-676,2510986
136;-685;-73,670338316376913;8,379375057819423;-685,7280273
137;-791;-73,653793461078394;8,379375057819423;-791,6205444
138;-887;-73,637248605779874;8,379375057819423;-887,2216797
139;-920;-73,620703750481354;8,379375057819423;-920,3521118
140;-966;-73,604158895182834;8,379375057819423;-966,3089600
141;-984;-73,587614039884315;8,379375057819423;-984,3175049
142;-7;-73,852331724660615;8,362830202520904;-7,2855015
143;-102;-73,835786869362096;8,362830202520904;-102,5024261
144;-231;-73,819242014063576;8,362830202520904;-231,1340332
145;-323;-73,802697158765056;8,362830202520904;-323,5466614
146;-375;-73,786152303466537;8,362830202520904;-375,4841614
147;-413;-73,769607448168017;8,362830202520904;-413,6849365
148;-527;-73,753062592869497;8,362830202520904;-527,0814819
149;-548;-73,736517737570992;8,362830202520904;-548,8088989
150;-615;-73,719972882272472;8,362830202520904;-615,1268311
151;-637;-73,703428026973953;8,362830202520904;-637,6879883
152;-739;-73,686883171675433;8,362830202520904;-739,4395142
153;-739;-73,670338316376913;8,362830202520904;-739,4395142
154;-820;-73,653793461078394;8,362830202520904;-820,6148682
155;-850;-73,637248605779874;8,362830202520904;-850,7138062
156;-934;-73,620703750481354;8,362830202520904;-934,5447998
157;-966;-73,604158895182834;8,362830202520904;-966,3089600
158;-1015;-73,587614039884315;8,362830202520904;-1015,9821777
159;-23;-73,835786869362096;8,346285347222386;-23,0896301
160;-172;-73,819242014063576;8,346285347222386;-172,1288757
161;-294;-73,802697158765056;8,346285347222386;-294,0539246
162;-427;-73,786152303466537;8,346285347222386;-427,0961914
163;-460;-73,769607448168017;8,346285347222386;-460,5385437
164;-555;-73,753062592869497;8,346285347222386;-555,7484741
165;-606;-73,736517737570992;8,346285347222386;-606,0516357
166;-609;-73,719972882272472;8,346285347222386;-609,2061157
167;-650;-73,703428026973953;8,346285347222386;-650,6165161
