NOMBRE ESTACIÓN;CODIGO;LATITUD;LONGITUD;ALTITUD (msnm);AGENCIA;FECHA DE INSTALACIÓN;FECHA DE RETIRO;ESTADO
La Loma 1;LL1C;9,541889;-73,555278;49;SERVICIO_GEOLOGICO_COLOMBIANO-ANH;3/10/2014;22/03/2018;INACTIVA
La Loma 2;LL2C;9,555250;-73,438583;78;SERVICIO_GEOLOGICO_COLOMBIANO-ANH;19/09/2014;6/10/2015;INACTIVA
La Loma 3;LL3C;9,726667;-73,412867;118;SERVICIO_GEOLOGICO_COLOMBIANO-ANH;3/10/2014;4/06/2015;INACTIVA
La Loma 4;LL4C;9,695750;-73,552972;50;SERVICIO_GEOLOGICO_COLOMBIANO-ANH;1/10/2014;7/10/2015;INACTIVA
La Loma 5;LL5C;9,749722;-73,721111;55;SERVICIO_GEOLOGICO_COLOMBIANO-ANH;14/10/2015;20/03/2018;INACTIVA
La Loma 6;LL6C;9,735278;-73,270556;158;SERVICIO_GEOLOGICO_COLOMBIANO-ANH;8/10/2015;21/03/2018;INACTIVA
La Loma 7;LL7C;9,339444;-73,437222;140;SERVICIO_GEOLOGICO_COLOMBIANO-ANH;11/10/2015;22/03/2018;INACTIVA
La Loma 8;LL8C;9,339196;-73,796899;58;SERVICIO_GEOLOGICO_COLOMBIANO-ANH;18/10/2015;-;ACTIVA
;;;;;;;;
La Loma 1;DRL01;9,708886;-73,664986;68;DRUMONDLTD;17/11/2017;-;ACTIVA
La Loma 2;DRL02;9,735341;-73,270423;140;DRUMONDLTD;16/11/2017;-;ACTIVA
La Loma 3;DRL03;9,391687;-73,474931;86;DRUMONDLTD;16/11/2017;-;ACTIVA
La Loma 4;DRL04;9,607332;-73,523423;81;DRUMONDLTD;16/11/2017;-;ACTIVA
La Loma 5;DRL05;9,62445;-73,476668;83;DRUMONDLTD;16/11/2017;-;ACTIVA
La Loma 6;DRL06;9,577068;-73,472674;81;DRUMONDLTD;16/11/2017;-;ACTIVA
San Martín de Loba;SML1C;8,86247;-73,99227;36;SERVICIO_GEOLOGICO_COLOMBIANO;29/10/2016;6/12/2017;INACTIVA
