FID;TIPO_DE_IN;AUTOR;EMPRESA;MAPA_ISN;MAPA_No;ESCALA;COORDENADA;ORIGEN;FECHA;FORMACION_;NOMBRE_SEE;TIPO_SEEP;LOCALIZACI;OBSERVACIO;ESTE;NORTE;INFORME;DATUM;NOMBRE_CUE;NMG;AÑO;TIPO;TIPO_2;COD_DANE;FECHA_EREC;CAPITAL;DPTOS_NOMB;DPTOS_AREA;X;Y;Z
0;GEOLÓGICO;L.ZANELLA;SHELL CONDOR S.A.;1A-12-049;20922,000000000000000;2500000,000000000000000;LOCAL;BOGOTÁ;/07/66;CRETÁCEO INFERIOR; ;ASFALTO;X;[ATLAS GEOQUÍMICO ANH-2007];995516,297000000020489;1411833,233999999938533; ;MS;AREA NO PROSPECTIVA;ANP;2007,000000000000000; ; ;13; ;Cartagena;BOLIVAR;26629150000;-74,1182022;8,3202105;1052,8399658
1;GEOLÓGICO;L.ZANELLA; ; ;0,000000000000000;0,000000000000000; ;BOGOTA;/07/66; ;X;INDEFINIDO; ; ;995516,473710000049323;1411802,859545999905095; ;BOGOTA;AREA NO PROSPECTIVA;ANP;2007,000000000000000; ; ;13; ;Cartagena;BOLIVAR;26629150000;-74,1182022;8,3199301;1046,5600586
2;GEOLÓGICO;L.ZANELLA;SHELL CONDOR S.A.;1A-12-049;20922,000000000000000;2500000,000000000000000;LOCAL;BOGOTÁ;/07/66;CRETÁCEO MEDIO; ;ASFALTO;X;[ATLAS GEOQUÍMICO ANH-2007];1003394,035000000032596;1416465,770999999949709; ;MS;AREA NO PROSPECTIVA;ANP;2007,000000000000000; ; ;13; ;Cartagena;BOLIVAR;26629150000;-74,0466995;8,3620901;764,2130127
3;GEOLÓGICO;L.ZANELLA; ; ;0,000000000000000;0,000000000000000; ;BOGOTA;/07/66; ;X;INDEFINIDO; ; ;1005481,837312999996357;1406085,302534000016749; ;BOGOTA;AREA NO PROSPECTIVA;ANP;2007,000000000000000; ; ;13; ;Cartagena;BOLIVAR;26629150000;-74,0277023;8,2682304;497,9280090
4;GEOLÓGICO;GEMS;ANH; ;0,000000000000000;0,000000000000000; ; ;2006; ;313;ASFALTO;VIM;BOLIVAR;1005481,876311999978498;1406115,290177999995649;ATLAS GEOQUÍMICO DE COLOMBIA 2006 - ANH;BOGOTA;AREA NO PROSPECTIVA;ANP;2007,000000000000000; ; ;13; ;Cartagena;BOLIVAR;26629150000;-74,0277023;8,2685099;507,3900146
5;GEOLÓGICO;GLORIA RINCON;INTERCOL;M-35-E-33;0,000000000000000;25000,000000000000000;X;BOGOTÁ;/ SEP /87;To-cm;X;INDEFINIDO;X; ;1079645,725000000093132;1336159,983000000007451; ;MS;AREA NO PROSPECTIVA;ANP;2007,000000000000000; ; ;54; ;Cúcuta;NORTE DE SANTANDER;21929990000;-73,3556976;7,6353698;187,4100037
6;GEOLÓGICO;GLORIA RINCON;INTERCOL;M-35-E-33;0,000000000000000;25000,000000000000000;X;BOGOTÁ;/ SEP /87;To-cm;X;INDEFINIDO;X; ;1079756,658000000054017;1336276,986000000033528; ;MS;AREA NO PROSPECTIVA;ANP;2007,000000000000000; ; ;54; ;Cúcuta;NORTE DE SANTANDER;21929990000;-73,3546982;7,6364298;205,1829987
7;GEOLÓGICO;GLORIA RINCON;INTERCOL;M-35-E-33;0,000000000000000;25000,000000000000000;X;BOGOTÁ;/ SEP /87;To-cm;X;INDEFINIDO;X; ;1079785,921000000089407;1336397,966999999945983; ;MS;AREA NO PROSPECTIVA;ANP;2007,000000000000000; ; ;54; ;Cúcuta;NORTE DE SANTANDER;21929990000;-73,3544006;7,6375198;202,8710022
8;GEOLÓGICO;L.ZANELLA;SHELL CONDOR S.A.;1A-12-049;20922,000000000000000;2500000,000000000000000;LOCAL;BOGOTÁ;/07/66;CRETÁCEO SUPERIOR; ;ASFALTO;X; ;1093958,259000000078231;1324880,742000000085682; ;MS;AREA NO PROSPECTIVA;ANP;2007,000000000000000; ; ;68; ;Bucaramanga;SANTANDER;30594,904415;-73,2261963;7,5331602;607,0659790
9; ;ZOREL GUTIERREZ; ; ;0,000000000000000;0,000000000000000; ; ; ; ;SANTA CRUZ;INDEFINIDO; ; ;1104037,970851999940351;1450595,326554999919608; ;BOGOTA;AREA NO PROSPECTIVA;ANP;2007,000000000000000; ; ;54; ;Cúcuta;NORTE DE SANTANDER;21929990000;-73,1322021;8,6695099;725,8699951
10; ; ; ; ;0,000000000000000;0,000000000000000; ; ; ; ; ;INDEFINIDO; ; ;1104037,970999999903142;1450595,327000000048429; ;MS;AREA NO PROSPECTIVA;ANP;2007,000000000000000; ; ;54; ;Cúcuta;NORTE DE SANTANDER;21929990000;-73,1322021;8,6695099;725,8699951
11;GEOLÓGICO;GLORIA RINCON;INTERCOL;M-35-E-33;0,000000000000000;25000,000000000000000;X;BOGOTÁ;/ SEP /87;Qal;X;INDEFINIDO;X; ;1078410,352999999886379;1333799,797000000020489; ;MS;CORDILLERA ORIENTAL;COR;2007,000000000000000;FRONTERA;INVERTED GRABEN / FOLD BELT;54; ;Cúcuta;NORTE DE SANTANDER;23075530000;-73,3668976;7,6140499;150,8260040
12;GEOLÓGICO;GLORIA RINCON;INTERCOL;M-35-E-33;0,000000000000000;25000,000000000000000;X;BOGOTÁ;/ SEP /87;Qal;X;INDEFINIDO;X; ;1078352,790000000037253;1333476,780000000027940; ;MS;CORDILLERA ORIENTAL;COR;2007,000000000000000;FRONTERA;INVERTED GRABEN / FOLD BELT;54; ;Cúcuta;NORTE DE SANTANDER;44481570000;-73,3675003;7,6111302;152,4109955
13;GEOLÓGICO;GLORIA RINCON;INTERCOL;M-35-E-33;0,000000000000000;25000,000000000000000;X;BOGOTÁ;/ SEP /87;Qal;X;INDEFINIDO;X; ;1078330,627000000094995;1333642,820000000065193; ;MS;CORDILLERA ORIENTAL;COR;2007,000000000000000;FRONTERA;INVERTED GRABEN / FOLD BELT;54; ;Cúcuta;NORTE DE SANTANDER;23075530000;-73,3676987;7,6126299;151,0879974
14;GEOLÓGICO;GLORIA RINCON;INTERCOL;M-35-E-33;0,000000000000000;25000,000000000000000;X;BOGOTÁ;/ SEP /87;Qal;X;INDEFINIDO;X; ;1078314,344999999972060;1333303,784999999916181; ;MS;CORDILLERA ORIENTAL;COR;2007,000000000000000;FRONTERA;INVERTED GRABEN / FOLD BELT;54; ;Cúcuta;NORTE DE SANTANDER;23075530000;-73,3677979;7,6095700;150,3150024
15;GEOLÓGICO;GLORIA RINCON;INTERCOL;M-35-E-33;0,000000000000000;25000,000000000000000;X;BOGOTÁ;/ SEP /87;Te-elp;X;INDEFINIDO;X; ;1077414,736999999964610;1332524,730999999912456; ;MS;CORDILLERA ORIENTAL;COR;2007,000000000000000;FRONTERA;INVERTED GRABEN / FOLD BELT;54; ;Cúcuta;NORTE DE SANTANDER;23075530000;-73,3759995;7,6025400;145,9790039
16;GEOLÓGICO;GLORIA RINCON;INTERCOL;M-35-E-33;0,000000000000000;25000,000000000000000;X;BOGOTÁ;/ SEP /87;Te-elp;X;INDEFINIDO;X; ;1077347,652999999932945;1332356,753999999957159; ;MS;CORDILLERA ORIENTAL;COR;2007,000000000000000;FRONTERA;INVERTED GRABEN / FOLD BELT;54; ;Cúcuta;NORTE DE SANTANDER;23075530000;-73,3766022;7,6010199;143,8970032
17;GEOLÓGICO;L.ZANELLA;SHELL CONDOR S.A.;1A-12-049;20922,000000000000000;2500000,000000000000000;LOCAL;BOGOTÁ;/07/66;CRETÁCEO SUPERIOR; ;ASFALTO;X; ;1090284,185999999986961;1324405,864999999990687; ;MS;CORDILLERA ORIENTAL;COR;2007,000000000000000;FRONTERA;INVERTED GRABEN / FOLD BELT;68; ;Bucaramanga;SANTANDER;23075530000;-73,2594986;7,5289302;942,5380249
18;GEOLÓGICO;L.ZANELLA;SHELL CONDOR S.A.;1A-12-049;20922,000000000000000;2500000,000000000000000;LOCAL;BOGOTÁ;/07/66;TERCIARIO SUPERIOR; ;PETRÓLEO;X; ;1062496,472000000067055;1370893,885999999940395; ;MS;VALLE MEDIO DEL MAGDALENA;VMM;2007,000000000000000;MADURA;POLYHISTORY RIFT TO BROKEN FORELAND;20; ;Valledupar;CESAR;22373450000;-73,5106964;7,9496498;91,5358963
