OBJECTID;TOPE_MUGROSA_WGS84_tif;X;Y;TOPE_MUGROSA_WGS84_Band_1
1;-1807;-73,663106607830755;7,976476266377805;-1807,3726807
2;-1842;-73,653425335645835;7,976476266377805;-1842,7376709
3;-1882;-73,643744063460915;7,976476266377805;-1882,3240967
4;-1929;-73,634062791275994;7,976476266377805;-1929,4235840
5;-1971;-73,624381519091074;7,976476266377805;-1971,7459717
6;-1998;-73,614700246906153;7,976476266377805;-1998,7244873
7;-2009;-73,605018974721233;7,976476266377805;-2009,9371338
8;-1745;-73,682469152200611;7,966794994192884;-1745,0250244
9;-1781;-73,672787880015676;7,966794994192884;-1781,5683594
10;-1815;-73,663106607830755;7,966794994192884;-1815,5119629
11;-1849;-73,653425335645835;7,966794994192884;-1849,0437012
12;-1888;-73,643744063460915;7,966794994192884;-1888,7673340
13;-1947;-73,634062791275994;7,966794994192884;-1947,6140137
14;-1998;-73,624381519091074;7,966794994192884;-1998,3851318
15;-2024;-73,614700246906153;7,966794994192884;-2024,3112793
16;-2026;-73,605018974721233;7,966794994192884;-2026,4128418
17;-164;-73,895457140268874;7,957113722007962;-164,8103027
18;-185;-73,885775868083954;7,957113722007962;-185,9265137
19;-226;-73,876094595899033;7,957113722007962;-226,8791504
20;-295;-73,866413323714113;7,957113722007962;-295,0751953
21;-1720;-73,692150424385531;7,957113722007962;-1720,4562988
22;-1761;-73,682469152200611;7,957113722007962;-1761,6696777
23;-1800;-73,672787880015676;7,957113722007962;-1800,4074707
24;-1837;-73,663106607830755;7,957113722007962;-1837,2270508
25;-1873;-73,653425335645835;7,957113722007962;-1873,2976074
26;-1913;-73,643744063460915;7,957113722007962;-1913,6562500
27;-1991;-73,634062791275994;7,957113722007962;-1991,2436523
28;-2046;-73,624381519091074;7,957113722007962;-2046,6403809
29;-2065;-73,614700246906153;7,957113722007962;-2065,9953613
30;-2054;-73,605018974721233;7,957113722007962;-2054,3408203
31;-2025;-73,595337702536312;7,957113722007962;-2025,9665527
32;-136;-73,905138412453809;7,947432449823040;-136,9575195
33;-141;-73,895457140268874;7,947432449823040;-141,1320801
34;-154;-73,885775868083954;7,947432449823040;-154,3896484
35;-189;-73,876094595899033;7,947432449823040;-189,5172272
36;-264;-73,866413323714113;7,947432449823040;-264,7287598
37;-1692;-73,701831696570451;7,947432449823040;-1692,5570068
38;-1739;-73,692150424385531;7,947432449823040;-1739,2104492
39;-1784;-73,682469152200611;7,947432449823040;-1784,0003662
40;-1828;-73,672787880015676;7,947432449823040;-1828,4146729
41;-1874;-73,663106607830755;7,947432449823040;-1874,8735352
42;-1927;-73,653425335645835;7,947432449823040;-1927,8017578
43;-1995;-73,643744063460915;7,947432449823040;-1995,5767822
44;-2085;-73,634062791275994;7,947432449823040;-2085,2985840
45;-2109;-73,624381519091074;7,947432449823040;-2109,4956055
46;-2113;-73,614700246906153;7,947432449823040;-2113,4194336
47;-2089;-73,605018974721233;7,947432449823040;-2089,3793945
48;-2040;-73,595337702536312;7,947432449823040;-2040,2541504
49;-135;-73,914819684638729;7,937751177638119;-135,4558716
50;-136;-73,905138412453809;7,937751177638119;-136,8024292
51;-139;-73,895457140268874;7,937751177638119;-139,0441895
52;-147;-73,885775868083954;7,937751177638119;-147,1618652
53;-174;-73,876094595899033;7,937751177638119;-174,2354736
54;-261;-73,866413323714113;7,937751177638119;-261,1224365
55;-358;-73,856732051529193;7,937751177638119;-358,8133850
56;-1710;-73,701831696570451;7,937751177638119;-1710,4366455
57;-1760;-73,692150424385531;7,937751177638119;-1760,2586670
58;-1809;-73,682469152200611;7,937751177638119;-1809,0361328
59;-1858;-73,672787880015676;7,937751177638119;-1858,8664551
60;-1912;-73,663106607830755;7,937751177638119;-1912,3867188
61;-1972;-73,653425335645835;7,937751177638119;-1972,3122559
62;-2038;-73,643744063460915;7,937751177638119;-2038,8132324
63;-2098;-73,634062791275994;7,937751177638119;-2098,8393555
64;-2107;-73,624381519091074;7,937751177638119;-2107,3479004
65;-2126;-73,614700246906153;7,937751177638119;-2126,4934082
66;-2127;-73,605018974721233;7,937751177638119;-2127,3452148
67;-2094;-73,595337702536312;7,937751177638119;-2094,6789551
68;-150;-73,914819684638729;7,928069905453197;-150,4401855
69;-157;-73,905138412453809;7,928069905453197;-157,3895111
70;-166;-73,895457140268874;7,928069905453197;-166,5196533
71;-183;-73,885775868083954;7,928069905453197;-183,4844971
72;-221;-73,876094595899033;7,928069905453197;-221,1034546
73;-305;-73,866413323714113;7,928069905453197;-305,6853027
74;-392;-73,856732051529193;7,928069905453197;-392,5533447
75;-939;-73,798644418419670;7,928069905453197;-939,5822144
76;-1008;-73,788963146234735;7,928069905453197;-1008,8929443
77;-1134;-73,779281874049815;7,928069905453197;-1134,4647217
78;-1674;-73,711512968755372;7,928069905453197;-1674,0361328
79;-1729;-73,701831696570451;7,928069905453197;-1729,3767090
80;-1782;-73,692150424385531;7,928069905453197;-1782,2252197
81;-1834;-73,682469152200611;7,928069905453197;-1834,3029785
82;-1887;-73,672787880015676;7,928069905453197;-1887,7452393
83;-1944;-73,663106607830755;7,928069905453197;-1944,5637207
84;-2005;-73,653425335645835;7,928069905453197;-2005,6857910
85;-2068;-73,643744063460915;7,928069905453197;-2068,5075684
86;-2120;-73,634062791275994;7,928069905453197;-2120,0451660
87;-2123;-73,624381519091074;7,928069905453197;-2123,9282227
88;-2156;-73,614700246906153;7,928069905453197;-2156,0227051
89;-2171;-73,605018974721233;7,928069905453197;-2171,7717285
90;-2163;-73,595337702536312;7,928069905453197;-2163,0249023
91;-163;-73,924500956823650;7,918388633268275;-163,8891602
92;-177;-73,914819684638729;7,918388633268275;-177,9659882
