,SimboloUC,Descripcio,Edad,UGIntegrad,Color
0,b1-Sct,Cuarzoarenitas de grano fino a conglomeráticas con intercalaciones de lodolitas y conglomerados,Berriasiano,Formación Tambor,#8CCD60
1,J-Hf,Pórfidos dacíticos y andesíticos,Jurásico,,#34B2C9
2,J-Pi,Granodioritas que varían de sienogranitos a tonalitas y de cuarzomonzonitas a cuarzomonzodioritas,Jurásico,Granitoides de San Lucas,#34B2C9
3,Q-ca,Abanicos aluviales y depósitos coluviales,Cuaternario,,#F9F97F
4,J3-Sc,"Capas rojas constituidas por arenitas, conglomerados y limolitas.",Jurásico Superior,Formación Girón,#B3E3EE
5,Q-t,Terrazas aluviales,Cuaternario,,#F9F97F
6,OS1-Pf,Granitos con moscovita,Ordovícico-Llandovery,,#99D7B3
8,Q-al,Depósitos aluviales y de llanuras aluviales,Cuaternario,,#F9F97F
9,b4k1-Sm,"Calizas, lodolitas negras y margas. Cuarzoarenitas de grano fino y lodolitas arenosas.",Barremiano-Cenomaniano,,#B3DE53
11,Q2-l,Depósitos paludales,Holoceno,,#FEEBD2
12,b6k6-Stm,"Shales, calizas, arenitas, cherts y fosforitas",Albiano-Maastrichtiano,,#F2FA8C
15,J1J2-VCct,"Arenitas, limolitas y calizas intercaladas con tobas, brechas, aglomerados y lavas riolíticas a andesíticas.",Jurásico Inferior-Jurásico Medio,,#80CFD8
17,b4b6-Sm,"Arenitas feldespáticas con intercalaciones de calizas, shales, margas y arenitas glauconíticas.",Barremiano-Albiano,,#CCEA97
18,n4n6-Sc,Arenitas líticas con intercalaciones de arcillolitas de color gris verdoso y conglomerados,Serravaliano-Mesiniano,Formación Real,#FFFF73
21,OS1-Mbg,"Filitas, esquistos, cuarcitas, pizarras, metaconglomerados, metalimolitas y mármoles.",Ordovícico-Llandovery,Formación Silgará,#99D7B3
23,J-Vf,Riolitas,Jurásico,,#34B2C9
29,N2Q1-Sc,Conglomerados de bloques a guijos con intercalaciones de arcillas y arenitas de grano fino a grueso,Plioceno-Pleistoceno,Formación Algodonal,#FFEFAF
36,e8n3-Sc,Arcillolitas abigarradas y cuarzoarenitas de grano fino a conglomeráticas,Rupeliano-Langhiano,Grupo Chuspas,#FFFF4D
44,N2Q1-VCc,"Arenitas feldespáticas y líticas; arcillolitas, y conglomerados con abundantes líticos de andesitas y dacitas.",Plioceno-Pleistoceno,Formación Mesa,#FFEFAF
55,OS1-Mmg,Ortogneises graníticos a tonalíticos y paragneises de composición anfibolítica y textura migmatítica,Ordovícico-Llandovery,,#99D7B3
56,k2k6-Sm,Lodolitas negras y calizas bituminosas intercaladas con cherts negros,Turoniano-Maastrichtiano,,#F2FA8C
73,E1-Sc,Conglomerados intercalados con arenitas de grano medio a grueso y lodolitas carbonosas,Paleoceno,Formación Lisama,#FDA75F
76,MP3NP1-Mag,"Gneises cuarzofeldespáticos, migmatitas, granulitas, anfibolitas, ortogneises, cuarcitas y mármoles.",Esténico-Tónico,Gneis de San Lucas,#FEBF4E
78,b2k1-Sm,Shales con yeso y chert intercalados con calizas y arenitas,Valanginiano-Cenomaniano,,#B3DE53
84,b2b6-Sm,"Shales con yeso, cherts, calizas y arenitas.",Valanginiano-Albiano,,#CCEA97
94,C2P-Sm,"Limolitas con intercalaciones de arenitas, arcillolitas y calizas arenosas.",Pensilvánico-Pérmico,Formación Diamante,#F04028
134,J2J3-VCc,"Ignimbritas félsicas, tobas y lavas riodacíticas.",Jurásico Medio-Jurásico Superior,,#B3E3EE
