NOMBRE ESTACIÓN;CODIGO;LATITUD;LONGITUD;ALTITUD (msnm);AGENCIA;FECHA DE INSTALACIÓN;FECHA DE RETIRO;ESTADO
Aguachica;AGCC;8,5121;-73,585;457;SERVICIO_GEOLOGICO_COLOMBIANO-ANH;14/02/2014;-;ACTIVA
La Esperanza;EZNC;7,6257;-73,3171;479;SERVICIO_GEOLOGICO_COLOMBIANO-ANH;17/03/2014;-;ACTIVA
San Pablo;SNPBC;7,6231;-74,0455;149;SERVICIO_GEOLOGICO_COLOMBIANO-ANH;23/02/2014;-;ACTIVA
Morales;MORC;8,2789;-73,9751;576;SERVICIO_GEOLOGICO_COLOMBIANO-ANH;17/02/2014;29/02/2016;INACTIVA
Valle del Magdalena-05 - San Martin;VMM05;7,9068;-73,557;86;SERVICIO_GEOLOGICO_COLOMBIANO-ANH;8/10/2015;-;ACTIVA
Valle del Magdalena-06 - Sabana de Torres;VMM06;7,4574;-73,5968;103;SERVICIO_GEOLOGICO_COLOMBIANO-ANH;4/10/2015;26/02/2016;INACTIVA
Valle del Magdalena-07 - Puerto Wilches;VMM07;7,3601;-73,8519;91;SERVICIO_GEOLOGICO_COLOMBIANO-ANH;8/10/2015;-;ACTIVA
Valle del Magdalena-09 - Lebrija;VMM09;7,1269;-73,2898;1079;SERVICIO_GEOLOGICO_COLOMBIANO-ANH;2/10/2015;-;ACTIVA
Valle del Magdalena-10 - El Carmen;VMM10;6,767;-73,725;165;SERVICIO_GEOLOGICO_COLOMBIANO-ANH;12/10/2015;-;ACTIVA
Valle del Magdalena-11 - Sabana de Torres;VMM11;7,43796;-73,57067;84;SERVICIO_GEOLOGICO_COLOMBIANO-ANH;9/06/2016;-;ACTIVA
Valle del Magdalena-12 - Simití;VMM12;8,08644;-73,88861;66;SERVICIO_GEOLOGICO_COLOMBIANO-ANH;11/06/2016;-;ACTIVA
Barranca1;BRR1;7,073;-73,673;92;SERVICIO_GEOLOGICO_COLOMBIANO-ANH;30/04/2014;10/10/2015;INACTIVA
Barranca2;BRR2;7,176;-73,773;112;SERVICIO_GEOLOGICO_COLOMBIANO-ANH;3/05/2014;12/10/2015;INACTIVA
Barranca3;BRR3;6,883;-73,671;118;SERVICIO_GEOLOGICO_COLOMBIANO-ANH;1/05/2014;8/10/2015;INACTIVA
Ocaña;OCNC;8,23985;-73,3194;381;SERVICIO_GEOLOGICO_COLOMBIANO;14/12/2016;9/11/2017;INACTIVA
San Martín de Loba;SML1C;8,86247;-73,99227;36;SERVICIO_GEOLOGICO_COLOMBIANO;29/10/2016;6/12/2017;INACTIVA
