LINE_ID,ID,DIST,DIST_SURF,X,Y,Z
"0","1",0.0000000000,0.0000000000,-73.0870871480,6.7449428600,702.0000000000
"0","2",0.0031748102,0.0031748102,-73.0843870820,6.7432728110,702.0000000000
"0","3",0.0064498544,46.0031749270,-73.0814170000,6.7418927650,748.0000000000
"0","4",0.0091908353,80.0031750370,-73.0788769240,6.7408627210,714.0000000000
"1","5",0.0000000000,0.0000000000,-73.4604973620,8.5468287130,550.0000000000
"1","6",0.0011600210,45.0000000150,-73.4604973800,8.5456686920,595.0000000000
"1","7",0.0026826974,45.0015226910,-73.4605874010,8.5441486790,595.0000000000
"1","8",0.0044534342,45.0032934280,-73.4608574340,8.5423986530,595.0000000000
"1","9",0.0060794041,83.0032934630,-73.4611974650,8.5408086350,633.0000000000
"1","10",0.0063357362,83.0035497950,-73.4609574530,8.5408986370,633.0000000000
"1","11",0.0067127057,83.0039267640,-73.4606074420,8.5410386310,633.0000000000
"1","12",0.0072101160,83.0044241750,-73.4601774280,8.5407886210,633.0000000000
"1","13",0.0078638771,83.0050779360,-73.4601074310,8.5401386180,633.0000000000
"1","14",0.0087515873,83.0059656460,-73.4598874420,8.5392785980,633.0000000000
"1","15",0.0104912928,83.0077053520,-73.4595674530,8.5375685740,633.0000000000
"1","16",0.0140598876,156.0077054400,-73.4587774660,8.5340885180,706.0000000000
"1","17",0.0160634338,173.0077055600,-73.4583174750,8.5321384910,689.0000000000
"1","18",0.0182972319,173.0099393500,-73.4578774890,8.5299484530,689.0000000000
"1","19",0.0213312963,236.0099394300,-73.4573075080,8.5269684080,752.0000000000
"1","20",0.0245183256,265.0099396000,-73.4566575320,8.5238483620,781.0000000000
"1","21",0.0275352861,265.0129565600,-73.4561275530,8.5208783160,781.0000000000
"1","22",0.0309894106,327.0129566600,-73.4555775770,8.5174682570,843.0000000000
"1","23",0.0325394635,409.0129566700,-73.4552275850,8.5159582340,925.0000000000
"1","24",0.0364542299,461.0129568200,-73.4544176100,8.5121281770,977.0000000000
"1","25",0.0395371490,580.0129568600,-73.4537076170,8.5091281270,858.0000000000
"1","26",0.0438191247,625.0129570700,-73.4527205990,8.5049614603,903.0000000000
"1","27",0.0448297594,654.0129570800,-73.4524876420,8.5039780410,874.0000000000
"1","28",0.0471048065,654.0152321300,-73.4519476560,8.5017680060,874.0000000000
"1","29",0.0505215781,712.0152322300,-73.4512276740,8.4984279530,932.0000000000
"1","30",0.0548500835,772.0152323900,-73.4500551350,8.4942612863,992.0000000000
"1","31",0.0591785889,812.0152326200,-73.4488825960,8.4900946197,952.0000000000
"1","32",0.0601933453,812.0162473800,-73.4486077110,8.4891178040,952.0000000000
"1","33",0.0644441689,830.0162478800,-73.4477660520,8.4849511373,970.0000000000
"1","34",0.0683244543,849.0162482800,-73.4469977590,8.4811476730,951.0000000000
"1","35",0.0698368927,849.0177607100,-73.4465677620,8.4796976480,951.0000000000
"1","36",0.0710955579,902.0177607300,-73.4461577620,8.4785076320,1004.0000000000
"1","37",0.0729687915,913.0177608900,-73.4457577690,8.4766776020,993.0000000000
"1","38",0.0747926885,1003.0177609000,-73.4453177840,8.4749075700,1083.0000000000
"1","39",0.0769949859,1003.0199632000,-73.4447977940,8.4727675410,1083.0000000000
"1","40",0.0783639517,1003.0213322000,-73.4445177980,8.4714275150,1083.0000000000
"1","41",0.0802154576,1031.0213322000,-73.4441778120,8.4696074920,1111.0000000000
"1","42",0.0824281796,1031.0235450000,-73.4436978250,8.4674474570,1111.0000000000
"1","43",0.0851379061,1039.0235454000,-73.4432978410,8.4647674140,1119.0000000000
"1","44",0.0875154969,1067.0235455000,-73.4427778600,8.4624473800,1147.0000000000
"1","45",0.0892619446,1067.0252920000,-73.4423778670,8.4607473550,1147.0000000000
"1","46",0.0901546525,1067.0261847000,-73.4422278750,8.4598673380,1147.0000000000
"1","47",0.0919458821,1098.0261847000,-73.4420278840,8.4580873080,1178.0000000000
"1","48",0.0941118237,1098.0283507000,-73.4418679120,8.4559272820,1178.0000000000
"1","49",0.0963037003,1171.0283507000,-73.4417779360,8.4537372530,1105.0000000000
"1","50",0.0986447805,1266.0283507000,-73.4413979490,8.4514272170,1010.0000000000
"1","51",0.1012797323,1286.0283509000,-73.4411179800,8.4488071810,1030.0000000000
"1","52",0.1025563879,1286.0296276000,-73.4409879850,8.4475371610,1030.0000000000
"1","53",0.1040064042,1286.0310776000,-73.4407480000,8.4461071420,1030.0000000000
"1","54",0.1057503639,1307.0310776000,-73.4405280110,8.4443771130,1051.0000000000
"1","55",0.1075973800,1307.0329247000,-73.4402780280,8.4425470920,1051.0000000000
"1","56",0.1091645971,1350.0329247000,-73.4401280460,8.4409870680,1094.0000000000
"1","57",0.1105735209,1350.0343336000,-73.4398980590,8.4395970420,1094.0000000000
"1","58",0.1123040035,1350.0360641000,-73.4397080740,8.4378770200,1094.0000000000
"1","59",0.1144009331,1380.0360642000,-73.4395380950,8.4357869910,1124.0000000000
"1","60",0.1168798775,1426.0360642000,-73.4393281140,8.4333169560,1170.0000000000
"1","61",0.1187307411,1426.0379151000,-73.4391281310,8.4314769280,1170.0000000000
"1","62",0.1204436861,1426.0396280000,-73.4389181500,8.4297769020,1170.0000000000
"1","63",0.1230538673,1450.0396282000,-73.4386881720,8.4271768720,1194.0000000000
"1","64",0.1252490344,1480.0396283000,-73.4385381980,8.4249868340,1224.0000000000
"1","65",0.1267685863,1480.0411478000,-73.4383682100,8.4234768200,1224.0000000000
"1","66",0.1291153891,1480.0434946000,-73.4380882320,8.4211467780,1224.0000000000
"1","67",0.1313870862,1486.0434950000,-73.4378582540,8.4188867520,1230.0000000000
"1","68",0.1330504207,1486.0451584000,-73.4376482640,8.4172367260,1230.0000000000
"1","69",0.1346097389,1501.0451585000,-73.4374782760,8.4156867010,1215.0000000000
"1","70",0.1368262705,1501.0473750000,-73.4372082960,8.4134866730,1215.0000000000
"1","71",0.1385708012,1530.0473750000,-73.4367383070,8.4118066440,1244.0000000000
"1","72",0.1408496536,1530.0496539000,-73.4361083090,8.4096166050,1244.0000000000
"1","73",0.1427713679,1552.0496540000,-73.4355883190,8.4077665790,1266.0000000000
"1","74",0.1446292478,1552.0515119000,-73.4351283280,8.4059665440,1266.0000000000
"1","75",0.1461520615,1552.0530347000,-73.4345783260,8.4045465230,1266.0000000000
"1","76",0.1480180996,1625.0530347000,-73.4340183340,8.4027664930,1339.0000000000
"1","77",0.1504082172,1625.0554248000,-73.4333683400,8.4004664560,1339.0000000000
"1","78",0.1526125437,1649.0554249000,-73.4326983400,8.3983664190,1315.0000000000
"1","79",0.1558603755,1683.0554251000,-73.4316983450,8.3952763670,1349.0000000000
"1","80",0.1601653986,1739.0554252000,-73.4306157030,8.3911097003,1405.0000000000
"1","81",0.1624213351,1739.0576812000,-73.4300483730,8.3889262660,1405.0000000000
"1","82",0.1668172538,1801.0576813000,-73.4286473050,8.3847595993,1467.0000000000
"1","83",0.1712131726,1808.0576827000,-73.4272462380,8.3805929327,1474.0000000000
"1","84",0.1720221884,1808.0584917000,-73.4269883880,8.3798261080,1474.0000000000
"1","85",0.1765848901,1835.0584921000,-73.4251290500,8.3756594413,1501.0000000000
"1","86",0.1811475919,1883.0584923000,-73.4232697130,8.3714927747,1453.0000000000
"1","87",0.1828195706,1900.0584924000,-73.4225883680,8.3699659210,1470.0000000000
"1","88",0.1873431059,1948.0584926000,-73.4208273290,8.3657992543,1422.0000000000
"1","89",0.1917329008,1958.0584936000,-73.4191183550,8.3617557770,1412.0000000000
"1","90",0.1961743510,1968.0584946000,-73.4175803790,8.3575891103,1422.0000000000
"1","91",0.2006158012,2004.0584949000,-73.4160424040,8.3534224437,1386.0000000000
"1","92",0.2037463485,2004.0616254000,-73.4149583650,8.3504855770,1386.0000000000
"1","93",0.2081693700,2009.0616274000,-73.4134744490,8.3463189103,1391.0000000000
"1","94",0.2121219274,2040.0616276000,-73.4121483720,8.3425954400,1360.0000000000
"1","95",0.2121419324,2040.0616476000,-73.4121283670,8.3425954400,1360.0000000000
"1","96",0.2165574244,2046.0616492000,-73.4106483740,8.3384353690,1366.0000000000
"1","97",0.2209550779,2054.0616504000,-73.4092418730,8.3342687023,1374.0000000000
"1","98",0.2223729817,2069.0616505000,-73.4087883850,8.3329252740,1389.0000000000
"1","99",0.2267950633,2137.0616507000,-73.4073072720,8.3287586073,1321.0000000000
"1","100",0.2310014960,2155.0616511000,-73.4058983880,8.3247951340,1339.0000000000
"1","101",0.2354077168,2177.0616516000,-73.4044653250,8.3206284673,1361.0000000000
"1","102",0.2398139376,2264.0616517000,-73.4030322610,8.3164618007,1274.0000000000
"1","103",0.2413016596,2264.0631394000,-73.4025484000,8.3150549620,1274.0000000000
"1","104",0.2456856828,2272.0631406000,-73.4011851140,8.3108882953,1282.0000000000
"1","105",0.2487300748,2302.0631408000,-73.4002384090,8.3079948420,1312.0000000000
"1","106",0.2513516563,2368.0631408000,-73.3994184180,8.3055048010,1246.0000000000
"1","107",0.2556544313,2377.0631419000,-73.3983447510,8.3013381343,1237.0000000000
"1","108",0.2599572062,2392.0631425000,-73.3972710840,8.2971714677,1252.0000000000
"1","109",0.2610898463,2392.0642751000,-73.3969884570,8.2960746560,1252.0000000000
"1","110",0.2653233819,2398.0642766000,-73.3962389820,8.2919079893,1258.0000000000
"1","111",0.2663429016,2406.0642767000,-73.3960584940,8.2909045730,1266.0000000000
"1","112",0.2705770216,2429.0642771000,-73.3953057250,8.2867379063,1243.0000000000
"1","113",0.2711800263,2429.0648801000,-73.3951985190,8.2861445080,1243.0000000000
"1","114",0.2753899568,2444.0648807000,-73.3945965190,8.2819778413,1258.0000000000
"1","115",0.2795998873,2464.0648811000,-73.3939945200,8.2778111747,1278.0000000000
"1","116",0.2809000633,2464.0661813000,-73.3938086010,8.2765243600,1278.0000000000
"1","117",0.2851714400,2476.0661820000,-73.3928686290,8.2723576933,1290.0000000000
"1","118",0.2889884642,2531.0661822000,-73.3920286430,8.2686342410,1345.0000000000
"1","119",0.2904684859,2634.0661822000,-73.3915486460,8.2672342170,1242.0000000000
"1","120",0.2917629948,2657.0661822000,-73.3910886460,8.2660241950,1265.0000000000
"1","121",0.2929763581,2657.0673956000,-73.3905986420,8.2649141740,1265.0000000000
"1","122",0.2943621677,2657.0687814000,-73.3901186360,8.2636141500,1265.0000000000
"1","123",0.2954679001,2657.0698871000,-73.3896686340,8.2626041290,1265.0000000000
"1","124",0.2955573352,2657.0699766000,-73.3896286410,8.2625241340,1265.0000000000
"1","125",0.2967627618,2693.0699766000,-73.3891586340,8.2614141130,1301.0000000000
"1","126",0.2978721906,2693.0710860000,-73.3886386350,8.2604340960,1301.0000000000
"1","127",0.2993206977,2693.0725345000,-73.3880886320,8.2590940700,1301.0000000000
"1","128",0.3008324103,2697.0725348000,-73.3876286320,8.2576540440,1305.0000000000
"1","129",0.3021737736,2772.0725348000,-73.3871686320,8.2563940220,1230.0000000000
"1","130",0.3036907937,2772.0740518000,-73.3865386340,8.2550140030,1230.0000000000
"1","131",0.3049985231,2796.0740519000,-73.3861886330,8.2537539810,1254.0000000000
"1","132",0.3057437888,2796.0747971000,-73.3860386410,8.2530239650,1254.0000000000
"1","133",0.3074374816,2796.0764908000,-73.3855786400,8.2513939360,1254.0000000000
"1","134",0.3084528213,2796.0775062000,-73.3852786480,8.2504239260,1254.0000000000
"1","135",0.3099179386,2822.0775062000,-73.3850086590,8.2489839000,1280.0000000000
"1","136",0.3111641090,2822.0787524000,-73.3848086680,8.2477538820,1280.0000000000
"1","137",0.3124333412,2822.0800216000,-73.3844586660,8.2465338620,1280.0000000000
"1","138",0.3134641292,2883.0800216000,-73.3842086740,8.2455338480,1341.0000000000
"1","139",0.3146551572,2883.0812126000,-73.3839386760,8.2443738270,1341.0000000000
"1","140",0.3156357794,2883.0821933000,-73.3837386840,8.2434138150,1341.0000000000
"1","141",0.3166059439,2883.0831634000,-73.3835986910,8.2424538040,1341.0000000000
"1","142",0.3171163457,2883.0836738000,-73.3835786940,8.2419437940,1341.0000000000
