,OBJECTID,ID,T_PUNTO,COD_SGC,CONSECUTIV,DEPTO_LOC,MUN_LOC,VER_LOC,SITIO_LOC,E_PTO,N_PTO,Z_PTO,MET_COTA,U_GEOL,COND_SECO,COND_HUM,LONGITUD,LATITUD
0,1,1,Pozo,108-I-D-2,2,SANTANDER,Puerto Wilches,Casco Urbano,Aguas de Puerto Wilches,1019282.0,1304189.0,67.988677,DEM,Qal,111.0,0.0,-73.90287076983151,7.346854737855716
1,2,2,Pozo,108-I-D-16,16,SANTANDER,Puerto Wilches,Casco Urbano,Planta de Tratamiento,1020158.0,1304062.0,70.341146,DEM,Qfl,104.9,0.0,-73.89493733004451,7.345703225609543
2,3,3,Pozo,108-I-D-17,17,SANTANDER,Puerto Wilches,Casco Urbano,Planta de Tratamiento,1020115.0,1304183.0,68.638293,DEM,Qfl,111.7,0.0,-73.89532633324919,7.346797485697149
3,4,4,Pozo,108-I-D-3,3,SANTANDER,Puerto Wilches,Casco Urbano,Barrio El Arenal,1018722.0,1302257.0,71.876307,DEM,Qal,310.5,0.0,-73.9079492905608,7.329387203665924
4,5,5,Pozo,108-I-D-4,4,SANTANDER,Puerto Wilches,Casco Urbano,Barrio Los Almendros,1019092.0,1303427.0,68.524622,DEM,Qal,484.1,0.0,-73.90459425732364,7.33996527082205
5,6,6,Pozo,108-I-B-5,5,SANTANDER,Puerto Wilches,Sin Información,Sin Información,1020458.0,1313662.0,58.166958,DEM,Qfl,338.9,0.0,-73.892184077624,7.432506705888307
6,7,7,Pozo,108-I-B-2,2,SANTANDER,Puerto Wilches,Acueducto Santa Teresa,Santa Teresa,1020481.0,1311479.0,64.0,DEM,Qal,427.7,0.0,-73.89198399936154,7.412767645784041
7,8,8,Pozo,108-I-B-6,6,SANTANDER,Puerto Wilches,Sin Información,Puerto Adentro,1020928.0,1310909.0,61.266792,DEM,Qfl,390.3,0.0,-73.88793713839,7.407611922222401
8,9,9,Pozo,108-I-B-3,3,SANTANDER,Puerto Wilches,Sin Información,Isla Seis,1020105.0,1310202.0,71.096775,DEM,Qal,262.6,0.0,-73.89539466426325,7.401222240822792
9,10,10,Superficial,108-I-B-4,4,SANTANDER,Puerto Wilches,Sin Información,Isla Seis,1020099.0,1310219.0,70.161538,DEM,Qal,211.8,0.0,-73.89544894969063,7.401375979445345
10,11,11,Pozo,108-IV-A-18,18,SANTANDER,Puerto Wilches,Puente Sogamoso,Casco Urbano,1032245.0,1293045.0,87.04211,DEM,Qat,157.6,0.0,-73.78553098327309,7.246028401499153
11,12,12,Pozo,108-I-D-1,1,SANTANDER,Puerto Wilches,Yarigui S.A.,Santa Teresa,1019972.0,1308733.0,66.884981,DEM,Qal,161.3,0.0,-73.89660479559518,7.387939820281255
12,13,13,Pozo,108-IV-A-19,19,SANTANDER,Puerto Wilches,Puente Sogamoso,Casco Urbano,1032207.0,1293130.0,88.995111,DEM,Qat,125.9,0.0,-73.78587457426315,7.2467972034449
13,14,14,Pozo,108-I-B-7,7,SANTANDER,Puerto Wilches,"Yarigui, La Esmeralda",Santa Teresa,1023711.0,1310570.0,63.918857,DEM,Qfl,37.1,0.0,-73.86272966306143,7.404535194708831
14,15,15,Aljibe,108-IV-A-20,20,SANTANDER,Puerto Wilches,Puente Sogamoso,Casco Urbano,1032212.0,1293034.0,85.0,DEM,Qat,130.8,0.0,-73.78582985801006,7.245929129740535
