Name,lat,lon,outputSRTM1
AGUACHICA,8.310539065,-73.6148732,164.40499931
BARRANCABERMEJA,7.067251982,-73.8531699,83.441343134
BUCARAMANGA,7.118117122,-73.1358739,906.86527389
CASABE,7.005539817,-73.9138612,71.781318733
GAMARRA,8.32471663,-73.7461392,38.675636154
LEBRIJA,7.117179383,-73.2240002,1026.5434208
MORALES,8.277874002,-73.8719193,37.629909388
OCANA,8.24645124,-73.358194,1178.6823842
PELAYA,8.690915284,-73.6689776,68.219991427
PUERTO PARRA,6.654333796,-74.0598735,95.677914098
PUERTO WILCHES,7.348584482,-73.9034104,63.315784014
RIO VIEJO,8.590812668,-73.8430781,35.067937222
SABANA DE TORRES,7.396765534,-73.5033341,127.11110233
SAN ALBERTO,7.76393031,-73.3967376,112.9543517
SAN MARTIN,8.006688595,-73.5158886,100.46503658
SAN PABLO,7.480634928,-73.9275384,63.772936404
SAN VICENTE CHUCURI,6.881564147,-73.4151237,615.08471889
SANTA ROSA DEL SUR,7.96633526,-74.0540727,617.25867086
