lon,lat,UWI,WELL_NAME,DEPARTAMEN,WELL_COU_1,WELL_TVD,WELL_KB_EL,ROTARY_ELE,WELL_DRILL,WELL_GROUN,FIELD_ABRE,CONTRATO,WELL_SPUD_,COORD_QUAL,COMMENT_,WELL_COMPL,WELL_STA_1,WELLTYPE,FECHA_ACTU,OPERATOR_W,COMPANY_CO,z
-73.45434827600002,7.329045172000008,SANT0042,SANTOS-42,SANTANDER,SABANA DE TORRES,2508.504,503.5,503.5,8230.0,484.0,SANTOS,PROVINCIA_P_SUR,1982-07-22,DEFINITIVAS,CONTRATO INICIAL 605 EL ROBLE SE ACTUALIZA POR UBICACION Y SEGUN TABLA DE PRODUCCION ANH 2019/01/22,1982-08-25,PRODUCTOR,VERTICAL,2019-01-22,INTERCOL,ECOPETROL S.A.,139.0
-73.761503119,6.941836957000021,INFA0077,INFANTAS-77,SANTANDER,BARRANCABERMEJA,844.296,356.3,356.2,2770.0,350.2,INFANTAS,LA_CIRA_INFANTAS,1925-08-29,DEFINITIVAS,SE ACTUALIZA CONTRATO LA CIRA INFANTAS ESTABA DE MARES/SE ACTUALIZA CAMPO SOLICITUD OPERDORA 10-09-2020,1926-01-01,PRODUCTOR,VERTICAL,2017-05-11,ECOPETROL S.A.,ECOPETROL S.A.,101.0
-73.69850537299999,7.267821121999987,SOGA0003,SOGAMOSO-3,SANTANDER,PUERTO WILCHES,3541.1664,0.0,401.0,11618.0,380.58,PLAYON,SOGAMOSO,1957-08-28,DEFINITIVAS,,1958-01-29,PRODUCTOR,VERTICAL,2013-09-05,TEXAS PETROLEUM COMPANY,ECOPETROL S.A.,123.0
-73.78167128000001,7.005246225000008,CIRA2250,LA CIRA-2250,SANTANDER,BARRANCABERMEJA,1263.396,0.0,336.0,3740.0,320.0,LA CIRA,LA_CIRA_INFANTAS,1900-01-01,PRELIMINARES,/SE ACTUALIZA CAMPO SOLICITUD OPERDORA 10-09-2020,,PRODUCTOR,,2018-03-16,ECOPETROL S.A.,ECOPETROL S.A.,93.0
-73.92458773200002,7.039017360999992,CSBE1340,CASABE-1340,ANTIOQUIA,YONDO (CASABE),0.0,0.0,248.19,4971.0,229.65,CASABE,MAGDALENA_MEDIO,2013-04-15,DEFINITIVAS,,,SIN ESTADO,DIRECCIONAL,2018-12-11,ECOPETROL S.A.,ECOPETROL S.A.,67.0
-73.56509904900003,7.054505033999988,LISA0079,LISAMA-79,SANTANDER,SAN VICENTE DE CHUCURI,2642.9208000000003,483.8,482.8,8671.0,460.0,LISAMA,LISAMA-NUTRIA,1981-03-17,DEFINITIVAS,SE ACTUALIZA CAMPO Y CONTRATO CON TABLA ANH Y UBICACION CARTOGRAFICA 2018/10/05,1981-07-02,PRODUCTOR,VERTICAL,2018-10-05,ECOPETROL S.A.,ECOPETROL S.A.,127.0
-73.795519093,6.977978811000014,CIRA2550,LA CIRA-2550,SANTANDER,BARRANCABERMEJA,0.0,381.0,381.0,4354.0,365.0,LA CIRA,LA_CIRA_INFANTAS,2014-03-11,PRELIMINARES,OK/SE ACTUALIZA CAMPO SOLICITUD OPERDORA 10-09-2020,,PRODUCTOR,,2018-03-16,ECOPETROL S.A.,ECOPETROL S.A.,101.0
-73.777876531,7.003332522999983,CIRA1673,LA CIRA-1673,SANTANDER,BARRANCABERMEJA,1168.2984000000001,325.0,330.1,3833.0,322.0,LA CIRA,LA_CIRA_INFANTAS,1959-04-06,DEFINITIVAS,SE ACTUALIZA CONTRATO LA CIRA INFANTAS ESTABA DE MARES/SE ACTUALIZA CAMPO SOLICITUD OPERDORA 10-09-2020,1959-04-30,SIN ESTADO,INYECTOR,2017-05-11,ECOPETROL S.A.,ECOPETROL S.A.,93.0
-73.76572096000001,6.976252217000024,CIRA1109,LA CIRA-1109,SANTANDER,BARRANCABERMEJA,984.504,332.3,331.3,3230.0,321.6,LA CIRA,LA_CIRA_INFANTAS,1939-11-22,DEFINITIVAS,SE ACTUALIZA CONTRATO LA CIRA INFANTAS ESTABA DE MARES/SE ACTUALIZA CAMPO SOLICITUD OPERDORA 10-09-2020,1939-12-30,PRODUCTOR,VERTICAL,2017-05-11,ECOPETROL S.A.,ECOPETROL S.A.,91.0
-73.76312793400001,6.924784328999976,INFA3716,INFANTAS-3716,SANTANDER,BARRANCABERMEJA,957.072,0.0,0.0,3518.0,384.8,LA CIRA INFANTAS,LA_CIRA_INFANTAS,2017-08-11,PRELIMINARES,FORMA 4CR,,SIN ESTADO,INYECTOR,2018-03-16,ECOPETROL S.A.,ECOPETROL S.A.,117.0
-73.78830568799998,6.941481060000001,CIRA0660,LA CIRA-660,SANTANDER,BARRANCABERMEJA,1187.1960000000001,328.74,328.5,3895.0,307.32,INFANTAS,LA_CIRA_INFANTAS,1932-09-08,DEFINITIVAS,SE ACTUALIZA CONTRATO LA CIRA INFANTAS ESTABA DE MARES/SE ACTUALIZA CAMPO SOLICITUD OPERDORA 10-09-2020,1933-07-29,TAPONADO Y ABANDONADO,VERTICAL,2017-05-11,TROPICAL OIL COMPANY,ECOPETROL S.A.,111.0
-73.82075322499998,7.170909160000008,LLAN0033,LLANITO-33,SANTANDER,BARRANCABERMEJA,2392.9848,259.62,259.62,7851.0,249.22,LLANITO,MAGDALENA_MEDIO,1962-10-16,DEFINITIVAS,CONCESION DE MARES. SE ACTUALIZA POR UBICACION MAPA TIERRAS ANH 2018/12/11,1963-04-04,TAPONADO Y ABANDONADO,VERTICAL,2018-12-11,ECOPETROL S.A.,ECOPETROL S.A.,85.0
-73.553559484,7.107396653000023,LISA0148,LISAMA-148,SANTANDER,SAN VICENTE DE CHUCURI,2435.9616,450.2,449.2,7992.0,434.2,LISAMA,LISAMA-NUTRIA,1989-02-15,DEFINITIVAS,CONTRATO ORIGINAL DE MARES,1989-06-20,PRODUCTOR,VERTICAL,2019-02-25,ECOPETROL S.A.,ECOPETROL S.A.,125.0
-73.763263746,6.914429965000011,INFA0137,INFANTAS-137,SANTANDER,BARRANCABERMEJA,570.5856,342.2,342.19,1872.0,336.61,INFANTAS,LA_CIRA_INFANTAS,1926-12-18,DEFINITIVAS,SE ACTUALIZA CONTRATO LA CIRA INFANTAS ESTABA DE MARES/SE ACTUALIZA CAMPO SOLICITUD OPERDORA 10-09-2020,1927-05-03,PRODUCTOR,,2017-05-11,TROPICAL OIL COMPANY,ECOPETROL S.A.,113.0
-73.80393124099999,6.980020529000001,CIRA1809,LA CIRA-1809,SANTANDER,BARRANCABERMEJA,1417.3200000000002,322.0,322.01,4683.0,304.44,LA CIRA,LA_CIRA_INFANTAS,1967-04-27,DEFINITIVAS,SE ACTUALIZA CONTRATO LA CIRA INFANTAS ESTABA DE MARES/SE ACTUALIZA CAMPO SOLICITUD OPERDORA 10-09-2020,1969-07-22,SIN ESTADO,INYECTOR,2017-05-11,ECOPETROL S.A.,ECOPETROL S.A.,89.0
