POZO,TOPE FM,Depth (feet),Depth [TVD],Depth [TVDSS],Depth [X Absolute],Depth [Y Absolute],colors,Depth (mt),top_Depth (mt),lon,lat
BERL-2,YNC_Real_Enrejado,870.0,870.0,-620.0,1022863.313,1279619.735,#FFFF00,265.176,0.0,-73.87053618203198,7.124680867942844
BERL-2,YNC_Real_Hiel,1354.0,1354.0,-1104.0,1022863.313,1279619.735,#FFFF00,412.6992,265.176,-73.87053618203198,7.124680867942844
BERL-2,YNC_Real_Chontorales,1712.0,1712.0,-1462.0,1022863.313,1279619.735,#FFFF00,521.8176,412.6992,-73.87053618203198,7.124680867942844
BERL-2,YNC_Real_Lluvia,2488.9,2488.9,-2238.9,1022863.313,1279619.735,#FFFF00,758.6167200000001,521.8176,-73.87053618203198,7.124680867942844
BERL-2,YNC-FM_COLORADO,2742.0,2742.0,-2492.0,1022863.313,1279619.735,#FEE6AA,835.7616,758.6167200000001,-73.87053618203198,7.124680867942844
BERL-2,YNC-LA_CIRA_SHALE,2742.0,2742.0,-2492.0,1022863.313,1279619.735,#FFE619,835.7616,835.7616,-73.87053618203198,7.124680867942844
BERL-2,YNC-BASE_LA_CIRA_SHALE,2927.0,2927.0,-2677.0,1022863.313,1279619.735,#FFE619,892.1496000000001,835.7616,-73.87053618203198,7.124680867942844
BERL-2,YNC-FM_MUGROSA,4999.0,4999.0,-4749.0,1022863.313,1279619.735,#FED99A,1523.6952,892.1496000000001,-73.87053618203198,7.124680867942844
BERL-2,YNC-BASE_HORIZONTE_FOSILIFERO_DE_MUGROSA,5072.0,5072.0,-4822.0,1022863.313,1279619.735,#FED99A,1545.9456,1523.6952,-73.87053618203198,7.124680867942844
BERL-2,YNC-FM_ESMERALDA-LA_PAZ,6962.0,6962.0,-6712.0,1022863.313,1279619.735,#FDCDA1,2122.0176,1545.9456,-73.87053618203198,7.124680867942844
BERL-2,YNC-DISCORDANCIA_DEL_EOCENO,7343.0,7343.0,-7093.0,1022863.313,1279619.735,#FDA75F,2238.1464,2122.0176,-73.87053618203198,7.124680867942844
BERL-2,YNC-FM_UMIR,7343.0,7343.0,-7093.0,1022863.313,1279619.735,#F2FA8C,2238.1464,2238.1464,-73.87053618203198,7.124680867942844
BERL-2,YNC-TD,7384.0,7384.0,-7134.0,1022863.313,1279619.735,#7c538f,2250.6432,2238.1464,-73.87053618203198,7.124680867942844
BOSQUES-1,YNC_Real_Bagre,1034.0,1034.0,-685.0,1034433.057,1300874.149,#FFFF00,315.1632,0.0,-73.76566952289795,7.31680721102583
BOSQUES-1,YNC_Real_Enrejado,2003.0,2003.0,-1654.0,1034433.057,1300874.149,#FFFF00,610.5144,315.1632,-73.76566952289795,7.31680721102583
BOSQUES-1,YNC_Real_Hiel,2975.0,2975.0,-2626.0,1034433.057,1300874.149,#FFFF00,906.78,610.5144,-73.76566952289795,7.31680721102583
BOSQUES-1,YNC_Real_Chontorales,3436.0,3436.0,-3087.0,1034433.057,1300874.149,#FFFF00,1047.2928,906.78,-73.76566952289795,7.31680721102583
BOSQUES-1,YNC_Real_Lluvia,4137.0,4137.0,-3788.0,1034433.057,1300874.149,#FFFF00,1260.9576,1047.2928,-73.76566952289795,7.31680721102583
BOSQUES-1,YNC-FM_COLORADO,4509.0,4509.0,-4160.0,1034433.057,1300874.149,#FEE6AA,1374.3432,1260.9576,-73.76566952289795,7.31680721102583
BOSQUES-1,YNC-LA_CIRA_SHALE,4509.0,4509.0,-4160.0,1034433.057,1300874.149,#FFE619,1374.3432,1374.3432,-73.76566952289795,7.31680721102583
BOSQUES-1,YNC-BASE_LA_CIRA_SHALE,4749.0,4749.0,-4400.0,1034433.057,1300874.149,#FFE619,1447.4952,1374.3432,-73.76566952289795,7.31680721102583
BOSQUES-1,YNC-FM_MUGROSA,7416.0,7416.0,-7067.0,1034433.057,1300874.149,#FED99A,2260.3968,1447.4952,-73.76566952289795,7.31680721102583
BOSQUES-1,YNC-HORIZONTE_FOSILIFERO_DE_MUGROSA,7416.0,7416.0,-7067.0,1034433.057,1300874.149,#FED99A,2260.3968,2260.3968,-73.76566952289795,7.31680721102583
BOSQUES-1,YNC-BASE_HORIZONTE_FOSILIFERO_DE_MUGROSA,7451.0,7451.0,-7102.0,1034433.057,1300874.149,#FED99A,2271.0648,2260.3968,-73.76566952289795,7.31680721102583
BOSQUES-1,YNC-FM_ESMERALDA-LA_PAZ,9500.0,9500.0,-9151.0,1034433.057,1300874.149,#FDCDA1,2895.6000000000004,2271.0648,-73.76566952289795,7.31680721102583
BOSQUES-1,YNC-DISCORDANCIA_DEL_EOCENO,9914.0,9914.0,-9565.0,1034433.057,1300874.149,#FDA75F,3021.7872,2895.6000000000004,-73.76566952289795,7.31680721102583
BOSQUES-1,YNC-FM_SIMITI,9914.0,9914.0,-9565.0,1034433.057,1300874.149,#B3DE53,3021.7872,3021.7872,-73.76566952289795,7.31680721102583
BOSQUES-1,YNC-FM_TABLAZO,11391.0,11391.0,-11042.0,1034433.057,1300874.149,#CCEA97,3471.9768000000004,3021.7872,-73.76566952289795,7.31680721102583
BOSQUES-1,YNC-FM_PAJA,11847.0,11847.0,-11498.0,1034433.057,1300874.149,#BFE48A,3610.9656,3471.9768000000004,-73.76566952289795,7.31680721102583
BOSQUES-1,YNC-FM_ROSABLANCA,12239.0,12239.0,-11890.0,1034433.057,1300874.149,#BFE48A,3730.4472,3610.9656,-73.76566952289795,7.31680721102583
